size(kB),bandwidth(GB/s)
24.6875,135.177
24.75,135.742
24.8125,135.105
24.875,134.933
24.9375,130.029
25,137.615
25.0625,135.981
25.125,136.019
25.1875,135.267
25.25,135.538
25.3125,135.995
25.375,134.651
25.4375,135.867
25.5,135.631
25.5625,136.268
25.625,135.289
25.6875,135.506
25.75,135.765
25.8125,135.223
25.875,135.128
25.9375,135.38
26,136.697
26.0625,135.95
26.125,136.347
26.1875,136.085
26.25,136.291
26.3125,135.421
26.375,135.974
26.4375,136.076
26.5,136.43
26.5625,135.723
26.625,136.279
26.6875,134.923
26.75,139.001
26.8125,135.861
26.875,136.381
26.9375,135.465
27,136.804
27.0625,136.295
27.125,135.753
27.1875,136.553
27.25,136.075
27.3125,136.337
27.375,135.43
27.4375,135.655
27.5,136.328
27.5625,136.033
27.625,136.834
27.6875,135.022
27.75,137.317
27.8125,135.365
27.875,136.575
27.9375,135.779
28,136.651
28.0625,137.466
28.125,136.032
28.1875,136.4
28.25,136.353
28.3125,132.212
28.375,135.938
28.4375,136.649
28.5,137.546
28.5625,136.088
28.625,135.975
28.6875,135.963
28.75,136.579
28.8125,135.843
28.875,136.476
28.9375,136.45
29,136.259
29.0625,136.05
29.125,136.156
29.1875,136.475
29.25,136.459
29.3125,136.975
29.375,136.339
29.4375,135.951
29.5,131.511
29.5625,135.886
29.625,136.134
29.6875,136.221
29.75,137.125
29.8125,136.933
29.875,136.262
29.9375,135.69
30,137.678
30.0625,136.205
30.125,136.123
30.1875,136.535
30.25,136.701
30.3125,135.981
30.375,132.355
30.4375,136.257
30.5,136.768
30.5625,135.8
30.625,136.487
30.6875,137.46
30.75,136.76
30.8125,136.586
30.875,137.275
30.9375,136.354
31,137.019
31.0625,131.886
31.125,138.596
31.1875,136.648
